,req,res
2959,단풍 놀이 계절 아인교,맞아 단풍이 들었더라 이제
2960,단풍 놀이 못 가고 다 떨어질 듯 ㅠ,이번 주말 지리산으로 가자
2961,아니 날씨가 넘 춥지?,단풍이 아주 들었어
2962,원래 이맘때가 이 정도 임?,담 주 비 오면 추워진다며
2963,요새 넘 심하게 추운 듯,이제 겨울이 올 듯
2964,마자 담 주에 비온댕,수능 칠 때 돼 가니까 겨울이 온 거여
2965,지금 양배추 대란인 거 알아?,양배추 얼마임 요새?
2966,맥날 햄버거에 양배추 빠짐...,우리 집도 이번에 배추 농사 망함 키키
2967,엄마가 양배추 한 통에 만 원이래,배추가 다 죽어버린대 계속
2968,롯데리아에는 안 빠졌대?,한파 때문에 그런 거지 그떄?
2969,롯데리아는 배추가 어디서 나는 겨,그니까 오데서 구하노
2970,엉 한파 때문에 배추가 죽었대 ㅠㅠ,갑자기 추워져서 다 죽었다던디
2971,영국은 기름 대란이라는디?,아직도 해결 안 됐니 거기
2972,거기 아무리 돌아도 주유소에 기름이 없대,호날두도 못 구한다더만 기름을 키키
2973,차에 기름을 못 넣어서 난리란다,이제 해결된 거 아니냐
2974,마스크 사재기는 사재기도 아니래,한참 전 일이었는데
2975,거기 무슨 운전할 사람이 없다던가...?,그 브렉시트 때문에 그런 거 아닌가?
2976,아 마자 브렉시트!,맞지 영국 잘됐네
2977,난 성형 했어!,난 자연 미남이야 하하
2978,눈이랑 치아를 했어!,넌 성형했는데 코는 안 했구나
2979,필러 맞으면 어떻게 되는데?,마스크 쓰면 코가 왜 없어?
2980,그니까 코를 했어야 했는데... 하하하하,코는 근데 엄청 아프대[
2981,코가 낮아서 넘 불편하네 하하하하,근데 후회할껄 하자마자 아파서
2982,제가 많이 벌면 되죠 후후훗,오 멋진 부인이군
2983,그거 봤나... 엠알아이 찍다가 죽은 사람,그니까 산소통 날라와서
2984,산소통이 날아와 가지고 미쳐 미쳐,무슨 봉변이람 그건 ㅠㅠ
2985,기사 보고 기겁,금 목걸이는 벗으라 하면서 ㅠㅠ
2986,그게 창원이었지 않나?,검사하다가 죽어서 무슨 개죽음 ㅠㅠ
2987,백 프로 병원 과실 아님...?,뭔 보상이라도 해줘도 무슨 소용
2988,이건 뭐 빼박,그니까 어떻게 됐는지 안 봤네
2989,요새 오징어 게임 굿즈 파는 거 진짜 웃김,어떤 거 파는데?
2990,달고나 키트 7000원!,뽑기 이런 거 파나?
2991,달고나 키트 누가 사냐고 키키,넘 비싸다 키키
2992,라떼는 한 판에 200원이었는데 ㅠ,옛날에 얼마였니 그거 문방구에서
2993,7000원이면 몇 배 상승이냐 키키 200원!,난 촌이라서 없었어 근데 하하
2994,쑥쑥해서 라니 키키 위생 관념 무엇,그런 걸 못 누림 촌놈이라
2995,종이의 집 언제 나옴...,12월 13일 마지막 판 나옴 키키
2996,벨라 차우 ㅠㅠ,아직 한 달 남았네
2997,아 그 아저씨 죽을 때 진짜 많이 울었는데,베를린 아저씨 ㅠㅠ 존멋
2998,벨라 차우 부르면서... 베를린 ㅠㅠ,난 나이로비를 젤 좋아했는데
2999,덴버 울 때 마음 찢어짐... 도쿄 ㅠㅠ,포 나이로비~ 포 나이로비~
3000,이게 계속 도둑놈을 응원하게 되넹,그니까 해피 엔딩은 아니겠지?
3001,영화관 안 간 지 넘 오래임...,난 귀칼이 마지막
3002,이번에 마동석 나오는 거 보고 싶은디,아니구나 모가디슈 보러 갔구나 키키
3003,이터널스...!  그거 꼭 보고 싶은디,모가디슈도 잼었는데 하하
3004,모가디슈 짱잼,강릉 유오성 나오는 거 기대 기대
3005,강릉 유오성이 나와?,친구 아니가 유오성 아자씨 키키
3006,봐야징 하하,그 전참시에서 나왔었는데
3007,커피한잔 하시죠~,난 이제 일어나서 밥어야 함
3008,오오~ 오늘 점심은 뭐 드셔유~,난 미역국에 밥 말았다 키키
3009,휴게소 돈까스 은근 맛있는데~,괴산휴게소 가시는군요~ 하하
3010,거기 돈까스 맛집이잖아,거기 제육덮밥도 맛있음
3011,11시 점심 먹음 오후 늦게는 배고프겠어~,그래서 아버지 어머니 6시에 저녁 먹잖아 키키
3012,우동도 같이 나오남유?,아버지 맛있겠어요 키키
3013,서울 집값이 조금 내렸다네,서울은 내려도 비싸제?
3014,응 대출규제 있어도 오르는듯,누나 청약은 들고 있나?
3015,응 10만원씩 따로 들고 있지,근데 청약 당첨돼도 아파트가 비싸니...
3016,둘째도 매매로 해서 이사간데,지금 사는집 팔고?
3017,화장실 2개 있는 집 키키,식구가 많아서 방3개는 필수겠다
3018,초등학교 근처로 알아보고 있데,애들 학교 가까워서 좋겠다
3019,요소수 때문에 디젤차가 피해를 보네,화물차나 승합차에는 다 넣으니
3020,둘째네도 카니발이라서 걱정하던데...,매형 차도 1톤 트럭이제?
3021,갑자기 수출이 막혔으니,그러니깐 갑자기 뭔 일이래...
3022,앞으로 계속되면 큰일인데...,전기차는 아직 트럭이 없으니 더하지
3023,많은 양을 충전하기도 힘들 것 같아,수소차도 먼나라 이야기임
3024,요소수 들어가는 차는 다 비상!,빨리 해결 되었음 좋겠다
3025,둘째 동상 12월까지 계약만료,누나 농업 기술 센터 다녔잖아?
3026,거기 담당 부서 많더라,누나는 어디에 근무했데?
3027,거기 축산 산림 담당 다있어~,농사 잘 지을수 있게 연구 하는곳이야?
3028,청사관리도 하고 키키,이것저것 엄청 많이 하네
3029,거기 일끝나면 다른데 계약한데,이번에도 회계 관련?
3030,행정 복지 센터 키키,오 동사무소 아니야?
3031,요즘 군대 복무기간이 어떻게 되지?,짧아 졌지 않나?
3032,면제까지 시간이 오래걸렸어,응 서류만 계속 제출 했지
3033,그러니깐 갑자기 면제 됨,아무래도 위험하니깐 면제 하나봐
3034,그거는 받을줄 알았더니,전체 다 면제 되나봐
3035,그러니깐 누나들의 소원은 해병대였는데,소원은 그냥 조카들에게 전달해줘
3036,아빠 개별화물 교육있지?,보수교육 하는거죠?
3037,직접 가서 받는 거야?,전에는 인터넷으로 했잖아요~
3038,코로나 때문에 안가나보네~,아마도?/요즘 다 인터넷으로 함
3039,아빠 내가 도와줄께~,누나가 힘좀 써줘~
3040,키키 힘쓸 일 없어,들어가서 설문조사 완료 하는 거죠?
3041,어디서 하는지 알려주요~,누나한테 아이디 비밀번호로 알려주세요
3042,다음달 너 생일지?,응~ 해피벌스데이 키키
3043,현금이 제일 좋지!,머니 머니 해도 현금이지~ 키키
3044,둘째 누나는 선물로 준다던데,선물?/갖고 싶은 거 이야기 해야겠다
3045,그래~ 이왕이면 비싼 걸로 키키,오늘부터 생각해봐야겠네~
3046,아빠 셋째는 계좌이체 키키,누나들이 많으니 좋네~
3047,키키 이럴 때는 원플원이래,아버지 원플원이면 같은 거 두 개 주는 건가요?
3048,엄마 아빠 장거리 연애 했겠어~,고향이 가까운 거리가 아님 ㅋ
3049,직장에서 만났다고 들었던 기억이 하하,난 처음 듣는 이야기 키키
3050,엄마 아빠는 얼마정도 연애 하고 결혼했어?,나도 궁금하다 키키
3051,나 엄마 아빠 결혼식 보고 울었잖아,누나야가 왜 우는데? 키키
3052,아니 어린 마음에... 결혼식 사진에 나는 왜없냐고 키키,키키 아 진짜 대단하다
3053,응 키키 지금 생각해보면 너무 웃김 키키,어린 마음에 얼마나 슬펐겠어 키키
3054,어릴 때는 병아리도 많이 키웠는데,학교 앞에 팔았잖아 키키
3055,응 키키 왜 그렇게 사고 싶었었는지,우리 한 명씩 한마리씩 사왔잖아~
3056,응 그때 아빠가 병아리 약도 먹여줬는데,엉 키키 아버지가 물에 약 타서 병아리 먹여줌
3057,그리고 우리집 햄스터도 많이 키웠는데,밤마다 쳇바퀴 달달달 굴리는 소리 났자나 키키
3058,근데 어디서 구했는지 기억은 안남,키키 우리집 새도 키웠는데
3059,아 키키 진짜 많이 키웠네,우리집 동물 농장이였네 키키
3060,참! 우리 제부들 다 운동 선수였지?,응 매형들 선출임 키키
3061,칠곡 제부는 축구 명문고,오오 키키 어디 나왔는데?
3062,북중이랑 대구공고 키키,대박 키키 거기 축구로 유명한데
3063,키키 아빠 나도 지금 보면 육상부 아니야,고성 매형은 레슬링 했제?
3064,응 키키 특기생 때 머리 짧은게 너무 싫었데,그래서 매형 머리 짧게 안자르잖아 키키
3065,우리도 학교 다닐 때 다 짧았음 ㅠㅠ,신기하다 집안에 선출 4명이라니
3066,이번에 김장할 때 모이면 게임하자,무슨 게임?/오징어게임? 키키
3067,키키윷놀이 하자,고스톱 안치고? 키키
3068,밤에는 고스톱 치고 키키,저금통 가져 가야겠다
3069,그래 지폐 갖고와,아니 점 천원 칠꺼가?
3070,고스톱도 지폐 써 키키,고스톱 점 100 아니가? 키키
3071,우리 하다보면 판 커지잖아 ㅋ,하우스도 아니고 키키
3072,아빠 엄마 바쁜거 끝나고 제주도 가자,이번년도 농사가 너무 잘됨
3073,1월에 가면 제주도 감귤도 맛있어,난 제주도 가본 기억이 없다 키키
3074,응 누나들만 많이 다니지 키키,이번에는 나도 같이가자
3075,이번에 제주도 가면 가파도 들어가자,가파도?/마라도 아니가?
3076,응 전에 가파도 갔더니 괜찮더라고~,아 그 청보리밭 있다는곳?
3077,응 짬뽕 먼저 먹고 타면 돼,가파도 배타고 들어가나?
3078,아빠가 보낸 단풍사진 이쁘다,아버지 어디서 찍은 거에요?
3079,은행나무 열매가 없네,가을만 되면 은행나무 장난아닌데
3080,이번주 비오고 나면 낙엽 다 떨어질듯해,바로 겨울 오는 거 아니야?
3081,비오면 출퇴근이 힘듬 ㅠㅠ,나도 일하기 너무 힘듬 ㅠㅠ
3082,아빠는 눈 와도 빙판길 때문에...,빙판길 엄청 위험함...
3083,응 서리 내리고 나면 새벽에 얼잖아,얼어 있는데 안 보이는게 함정이지
3084,파라인플루엔자 바이러스 들어봤어?,응? 그런 바이러스도 있나?/응? 그런 바이러스도 있나?
3085,요즘 6세 이하 아기들한테 많이 나온데,코로나와 비슷한거가? 무섭네/코로나와 비슷한거가? 무섭네
3086,증상이 감기 몸살하고 똑같데,열도 나고 기침 나고 그러나?/열도 나고 기침 나고 그러나?
3087,그 바이러스도 접촉하면 전파 되니깐...,눈에 안보이니 더 위험한 것 같다/눈에 안보이니 더 위험한 것 같다
3088,응 8월말부터 시작이 됐나봐,우리 아기들도 조심해야겠다/우리 아기들도 조심해야겠다
3089,응 둘째 셋째 다 연락했어,조카들 어린이집에서도 조심해야겠다/조카들 어린이집에서도 조심해야겠다
3090,나이지리아 공사현장 붕괴됐데,어 나도 그 뉴스 봤다
3091,엄청 큰 게 무너졌던데...,응 한번에 와르르 무너진듯
3092,응 22층 건물이 무너졌으니...,실종자가 최대 100명이래...
3093,응 거기가 또 부유층들이 사는곳이래,조사 해봐야겠네 뭐가 잘못된 건지
3094,응 머스크 재산이 많이 늘었어,버핏의 3배라고 하던데
3095,어마 어마 하다 키키,갑자기 주식이 확 뛰었으니
3096,아 나 점이나 뺄까,점?/오른쪽 볼 빼려고?/점? 왼쪽 볼 빼려고?
3097,동상 너도 빼야 되지?,응 나도 빼야함
3098,점 마다 다른것 같아,난 눈물점 빼야 하는데
3099,엄마도 고민 하던데,입위에 있는 점?
3100,응 키키 겁난데,조금 기다렸다가 겨울에 빼야겠다
3101,응 빼고 나서 관리가 중요함,점 만 빼도 사람 달라 보이던데
3102,어깨에 담이 걸렸어,담 걸리면 어디 아픈지 모르겠음
3103,응 갑자기 이러니...,한의원 가야겠다 침 맞으러
3104,어제 근육 이완제 먹고는 잤는데 효과가 없음 ㅠㅠ,담은 한의원이 제일 빠르다
3105,그것도 먹고 한의원도 가야겠어,난 엊그제 허리 아파서 한의원 감
3106,거기 주사 잘 낫는다며?,응 근육 이완제 주사
3107,스트레칭도 해봤는데 소용이 없어,회사 주변에 한의원 없나?
3108,해외 직구 편해졌어,번역도 다 잘되어 있고 쉬워짐
3109,요즘 5일이면 배송와,예전과 다르게 빨리오네
3110,응 이번에 비타민 시켰어 키키,나도 비타민 시켜줘
3111,응 내가 한번 알아볼께,프로틴도 많이 팔지?
3112,아빠 키키 보충 식품으로 먹어도 돼,아버지 저 운동 할거에요
3113,요즘 예능에 운동 선수들 많이 나오더라,응 티비 틀면 다 운동선수 키키
3114,거기 김병현 현주엽도 나오잖아,안싸우면 다행이야? 키키
3115,난 골 때리는 그녀들 챙겨봐,이번에 시즌2 하잖아
3116,아나콘다 팀은 아나운서 모여 있는팀 키키,아 키키 그래서 바다 팀이 탑걸 키키
3117,응 승소희도 있어,누나야 승소희가 아니라 송소희 키키
3118,키키 쏘리 쏘리,이번에 새로운 감독 나오는 것 같던데
3119,어제 코미디 영화 봤어,무슨 영화?/재미있더나 키키
3120,봉이 김선달 키키,오래전에 개봉한 거 아니가?
3121,응 2016년에 나온 영화,나온지 오래됐네 키키
3122,유승호랑 고창석 라미란 나와 키키,거기 엑소 멤버도 나오잖아
3123,응 엑소멤버 시우민 키키,요즘 드라마에도 아이돌 많이 나오던데
3124,아빠 나도 잘 몰라 키키,워낙 많이 데뷔 하니깐
3125,아 오늘 엽떡 먹고 싶다 ㅠ,엽떡은 1인분이 없어서 참 애매해 ㅠㅠ
3126,착한 맛은 맛있게 맵더라,엽떡에 들어가는 치즈가 또 기가 막히잖아 하하
3127,김말이는 맛없었어 엽떡 거,맞아/나도 김말이는 시켰다가 남겼거든...
3128,튀김은 또 신전이 맛있지,분식 누나 다 마스터 한 거 아니야?! 키키
3129,그리고 신가네 매운 떡볶이 제일 좋아해,거기 충청도 사람들은 다 안다던데~
3130,그래도 신가네 매떡은 찐이야 꼭 먹어봐,맞아/나 다음에 대전 가면 여친이랑 먹으러 가려고!
3131,다들 이사 계획 있어?,아직.../집 값이 요즘 너무 비싸
3132,거기 지방인데도 비싸?,맞아/어디든 요즘 집 값 비싸잖아~
3133,우리 동네는 숨도 못 쉴 정도로 비싸 키키,그치/수도권 쪽은 완전 지금 집값 상승이잖아 ㅠㅠ
3134,응 그래서 이사를 쉽게 못 가겠더라,그냥 싸 질 때까지 존버가 답이야...
3135,아님 진짜 깡촌으로 갈까 봐 ㅠ,깡촌은 차 없으면 진짜 불편해 누나 키키
3136,렌트카 업체 좀 추천 해줘!,음 어디 지역 말하는 거야 누나?
3137,나 그냥 단기로 잠깐 빌리게 키키 내륙,sk나 롯데처럼 대기업에서 빌려/그게 마음 편해 하하
3138,그런 곳 무슨 차 있어?,뚜벅이라 많이 알지 키키/외제차도 있고 다 있던데?
3139,보험 빵빵하게,외제차 나도 제주도에서 타 보는 게 로망이야!
3140,나도~ 비엠 오픈카 한번 타보고 싶어,와 그건 제주도에서 가능한 일이다...
3141,해안 도로 시원하게 질주 하고 싶어,날씨 좋을 때 가면 또 기가 막히잖아 하하
3142,너는 회사 언제 입사야?,나 아마 내년 여름쯤 일 거 같아!
3143,헐 이제 좋은 시절 다 갔네 키키,그치/슬슬 자격증도 준비하고 그래야지...
3144,항상 그 생각 뿐이야,하지만 우리의 현실은 그렇지가 않아!
3145,이런~ 나도 취업 준비 해야 하는데,우리 같이 힘내서 취업 뽀개기나 하자 키키
3146,너도 입사 전까지 열심히 놀고,좋아~ 키키/놀다가 다시 시작 해 보자고~
3147,첫 월급 타면 나 소고기 사줘,알았어 키키/바로 누나한테 연락할게!
3148,넌 군대 왜 일찍 갔어?,회사에서 그냥 가라고 공지 해 버리던데...?
3149,그럼 전역하고 바로 회사 행~,맞아 키키/대부분 다 그렇게 가더라고
3150,군적금 가서 꼭 들어,군적금 이자 5%나 줘서 완전 꿀이야!
3151,이자율이 좋아서 돈 모으기 좋아,그니까 하하 지금은 그래도 대우가 더 좋더라고
3152,핸드폰도 주고 꿀이지 뭐,핸드폰 준 게 군대에서 진짜 큰 사건이긴 했지~
3153,다들 핸드폰 하고 있어서 싸움이 안나~,연등도 자유로운 편이라 좋음/물론 짬찌 제외 키키
3154,자격증 공부는 유튜브로 해?,응 요즘 유튜브 잘 돼있잖아!~
3155,나는 한국사 고급 공부 중이야 키키,나는 슬슬 컴활 준비하려고 계획 중이야!
3156,근데 할 필요가 있더라고 ㅠㅠ,그렇긴 해.../나도 열자마자 접었잖아 키키
3157,50문제 풀기가 쉽지 않아,푸는 것 조차 너무 오래 걸려 한국사는 ㅠㅠ
3158,아 나는 매국노인가 봐 키키,에이~ 나도 한국사 못 해 어렵기도 하고
3159,엑셀은 어딜 가든 다 쓰이니깐,그래서 난 지금 컴활 준비 하려고~
3160,너네 조카들 완전 귀엽다 ㅠㅠ,맞아/나도 사진 봤는데 너무 귀엽던데 ㅠㅠ
3161,헐~ 언니 닮아서 이쁜 거 아닌가 하하,그러게 키키/완전 똘망똘망 하게 생겼어
3162,나는 동생 있어 남동생,나는 외동이야.../너무 외로워 키키
3163,음 나는 아직 어려서 생각이 없어 키키,나도 아직 나이가 어려서.../아직은~
3164,나는 가족 꾸리는 게 두려워 키키,그래?/아직 나이가 어려서 그런가 봐 키키
3165,엄마 아빠 역할이 보통이 아닐 것 같아,부담스럽기도 하고 아직은 생각이 없네~!
3166,너네 누나 육아 하기 힘들다 하지 않아?,육아는 진짜 힘들긴 하다던데 ㅠㅠ
3167,누나 육아 휴직 하고 있겠네 ㅠㅠ,그치/육아 휴직 안 하면 키우기 힘들어
3168,조카들 나이 차이 많이 나는 편이야?,그래도 조카들 보면 행복하겠다!~
3169,연년생 힘들어~,3살 차이면 딱 나쁘지 않지~ 하하
3170,언니 육아 하느라 힘들겠어,요즘 연락도 없던데 바쁘신가 보네 ㅠㅠ
3171,애 둘 키우면 진짜 시간 순삭이래,하루가 1시간 같이 느껴진다더라 키키
3172,나는 요즘 물고기 키우고 싶어,물고기라면 금붕어가 또 최고지
3173,관상어 이쁜 애들 많더라구,금붕어가 짱이야 키키/키우기도 쉽고
3174,난 수족관에 이쁘게 해주고 싶어,그치/수족관 꾸미고 관상용 나쁘지 않아
3175,물고기도 은근 비싸더라,잘 키우면 뿌듯하긴 하겠다 하하
3176,응 내가 아쿠아리움 하나 만들 거야 키키,그 정도로 크게 키우려고?! 키키
3177,내가 열심히 꾸며 놓을게,오 키키 누나 집 이제 금붕어 생기겠네
3178,너 요새 운동 하는 거 뭐 있어?,저 너 요즘 운동 하긴 하나...? 키키
3179,야구 동호회 같은 거야?,야구 동호회 사람들도 실력 좋다던데...
3180,동네에 야구장이 따로 있어?,아마 어디 시 야구장 빌려서 하는 거 일걸?~
3181,축구는 안 좋아해?,야구 좋아하는 사람들은 축구 별로 안 좋아 한다던데...?
3182,야구 어디 팀 좋아해?,나는 야구 관심 없어서 몰라~ 하하
3183,응 키키 나도 한화? 만 알고 있어 키키,나도 그냥 올림픽 야구만 보는 수준...?
3184,너 쉬는 날 무슨 게임 해?,나는 집에서 그냥 뒹굴 거리는 게 최고던데
3185,오 폰 게임 뭐 있는데?,폰 게임 카카오 게임 종류들 옛날에 많이 했었는데~!
3186,나는 쿠키런 많이 했어,쿠키런이나 그 애니팡? 이런 거 꿀잼
3187,애니팡 키키 와 진짜 스마트폰 초기 게임,그치/나 폰 사자마자 깔았거든 하하
3188,핸드폰으로 유튜브 보기 바빠,그래서 난 요즘은 폰 게임 잘 안 해!
3189,참신한 게 요새 안 나와서 ㅠㅠ,맞아/맨날 같은 게임만 반복...
3190,힐링 하고 싶어,그치/나도 스트레스 만땅이라 힐링 시급...
3191,파크 하얏트 패키지 가보고 싶다,와 거기 진짜 비싸다던데...? 하하
3192,한번쯤 가보고 싶어 ㅠㅠ,다음에 돈 모아서 한 번 가 봐!
3193,내년 기념일에 가자 하려고 키키,좋아 키키/남친 내년 기념일까지 돈 열심히 벌어야겠네
3194,돈 좀 모아 오라 해야지 ㅜㅜ,그래 키키/조식은 당연히 필수지
3195,나는 더 좋을 것 같은데,나는 사실 아직 호캉스 경험 0...
3196,오늘 날씨가 흐리고 별로 안 좋네~,그래?/나도 슬쩍 창문 열어 봐야겠다
3197,완전 흐리고 비 올 것 같아 키키,안 돼/나 오늘 헬스 가는데 비 오면 찝찝해
3198,헐 키키 그런 날엔 집에서 쉬어야 해,그치 키키/곧 겨울 날씨로 바뀐다더라
3199,헐 옷 다시 또 사야 하나 하,이제 가을 옷 넣고 겨울 옷 꺼내
3200,청기 백기 하는 것 같다 키키 이런,눈치 싸움이야 요즘 날씨는 하하
3201,초고가 오징어게임 테마 호텔 대박이다,응? 요즘 오징어게임 유행이잖아 키키
3202,990만원짜리 호텔이라 하던데 키키,1박에 990...?/99만원도 아니고 뭐가 이리 비싸
3203,완전 패키지더라고 오징어게임도 하게 해준대,오징어게임 참가는 은근 탐나네 키키
3204,이태원에 할로윈 분장 많았겠다,그렇긴 하겠다/sns만 봐도 느껴지더라...
3205,너무 과열 아닌가 키키,그래?/요즘 전세계적으로 이슈라 그런가 봐 키키
3206,키키 구경이나 해,알았어 키키/저런 걸 예약 하는 사람이 있다는 게 신기하네
3207,LNG 훔치려다 멕시코 가스관 폭발했어,키키 아주 그냥 호되게 당했나 보네
3208,폭발 영상 보니깐 대박이다 키키,진짜? 키키/폭발이면 훔치다 죽었겠다
3209,12명 사상자 있대,그치/폭발이면 무조건 피해가 생기니까 ㅠㅠ
3210,1400명 동원해서 화재 진압...,몇 명 때문에 얼마나 피해를 보는 거야 어휴
3211,저걸 왜 훔쳐 가지고,가지가지 한다는 게 여기서 나온 말인가 봐 키키
3212,저거 복구 어떻게 할 거야 ㅠ,돈만 이리저리 쓰이고 사라지는 거지 뭐 ㅠㅠ
3213,눈썹 왁싱 해본 적 있어?,나는 눈썹 왁싱은 아직...
3214,키키 나도 내 남친 데려갈 거야,헐... 남친 의사는 어디 갔어 누나 키키
3215,내 남친은 털이 막 자라서 한번 다듬어 줘야 해,눈썹 왁싱이 눈썹 다듬는 거지...?/다 미는 게 아니라
3216,부분 부분 털 제거 해야 해,그렇구나/그 정도는 아마 할 수 있지 않을까?!
3217,그거 은근 따갑고 아파,헉 무섭다 키키/나는 살짝 보류할래
3218,너는 눈썹 다듬기만 해 엄청 검잖아,에이... 나도 슬 관리 편하게 받아야겠다
3219,일요일에 문 여는 병원 있어?,응급실은 항상 하지 않을까...?
3220,응급실은 너무 비싸고 ㅠㅠ,음... 일요일에 여는 곳 진짜 드물텐데
3221,"후, 여기 수도권인데 잘 없어 ㅠㅠ",그러면 그냥 응급실이 답이긴 하겠다...
3222,진짜 약국도 안 열고 너무 짜증이야,왜 누나 지금 아파?
3223,어제 일요일인데 키키 배 아파서 혼났지 뭐야,아 키키 얼른 약 먹고 쉬어야겠네!
3224,집에서 자연 치료 중 하하,자연 치료가 은근 좋긴 한데 잘 먹고 잘 자야 해
3225,완전 느린 것 같아,난 아직.../근데 반값인 데는 이유가 있을 거 같아
3226,당근에서 써봤는데 별로야,그냥 편의점 택배로 보내는 게 아마 정신 건강에 이로울 거야 키키
3227,지금 일주일 째 안 오고 있어 키키 불안,오래 걸리는데...?/난 안 쓸 거 같아
3228,그래서 없다고 생각 하는 중이야,나여도 그렇게 생각하겠다/다음부턴 쓰지마!
3229,저번에 지에스는 5일 걸렸어,와 그 정도면 해외배송 급인데 키키
3230,요샌 직구도 참 빨리 와,그니까! 반값 택배는 이용 안 하는 걸로~
3231,주말에 보는 예능 프로그램 있어?,나는 유튜브에서 그냥 몇 개 보는 정도?
3232,나는 그알 자주 봐,그알? 그거 이슈만 방송 해주는 프로잖아 키키
3233,나도 맨날 재방으로 봐,그알 항상 방송하고 나면 말 많잖아
3234,김상중 아저씨 제스처 너무 웃겨,그 손 모양 말하는 거지 누나? 키키
3235,그 쌈 싸 먹어 하는 그 손 모양,알지 알지 키키/내 여친도 그 얘기 많이 하던데
3236,살인 사건 같은 거 무서워서 제대로 못 봐 키키,나도 그런 건 조금 무서워... ㅠㅠ
3237,너 어릴 때 무슨 만화 봤어?,우리는 스폰지밥 짱구 이런 거지 키키
3238,와우 또봇 세대 아닌가?,와 우리 나이 차이 별로 안나 누나...
3239,난 어릴 때 도라에몽 자주 봤어 키키,도라에몽 주머니는 항상 알 수가 없지~ 키키
3240,원피스는 아직도 완결이 안 났어,완결 안 난 만화는 언제쯤 날까 궁금하네
3241,난 이제 보다가 무슨 내용인지도 까먹어,나도 키키/그게 띄엄띄엄 보면 모르겠더라
3242,극장판은 재밌게 봤어 원피스 스트롱 월드,원피스 극장판은 못 참지!~
3243,물회에 소주 한잔 하고 싶다,오 물회 좋지!/나 요즘 물회에 빠졌잖아~
3244,맥주 보단 소주야 키키 뭘 몰라,그니까 나도 맥주보단 소주파야 키키
3245,물회 얼마나 맛있는지 너네 알아?,그럼~ 내 여친이 나 물회 입문 시켜줬어 하하
3246,특히 오징어 물회가 맛있어 키키,아 그래? 그건 아직인데 도전해야겠다!
3247,육회도 맛있지 ㅠㅠ 한우 육회 최고야,육회도 맛있어 형 키키/육회 먼저 먹어
3248,투쁠 육회 먹고 나 기절했어,진짜 한우 육회는 사랑이야...
3249,LH 임대아파트 월세가 16만원이래,월세 16만원이면 괜찮은 거 아니야?!
3250,청년들한테 잠깐 빌려주는 아파트인가 봐,아 그렇구나 그러면 나름 경쟁 치열하겠다
3251,아냐 이건 lh에서 임대 해주는 거!,나도 해당 사항이 되려나~/나도 청년인데 하하
3252,여러가지 정책이 많아서 그런가 봐 키키,오호~ 나도 내 집 마련 잠깐이라도 하고 싶다
3253,LH 기숙사도 있고 다양해 근데 경쟁률이 쉽지 않아,하긴 청약이든 뭐든 다 경쟁률이 치열해 ㅠㅠ
3254,월세가 저렴해서 그런지 엄청 몰리더라 이것도,아...? 16만원은 싸긴 하니까 더 올리겠다
3255,요즘 젊은 사람들도 자차 많이 있더라,맞아 키키 중고차로도 대부분 사서 끌더라
3256,내 남친은 렌트 자주 하는데 ㅠ 돈 많이 깨짐,그렇긴 한데 여친 입장에선 편하고 좋지 않을까?!
3257,그 돈 모아서 다른 거 했으면 좋겠어 키키,아 그렇구나 키키 그래도 편한 게 최고라 생각하는 사람이 많긴 해
3258,쏘카 같은 거 쓰고 있는데 키키 거기 은근 비싸,쏘카는 너무 비싸 ㅠㅠ 특히 보험료가...
3259,맞아 쏘카 약관도 쓰레기라며 키키,그 저번에 이슈 됐잖아/그 이후로 살짝 꺼려지더라
3260,약간 애매모호한 말들이 많아서 키키,그치 그냥 말 장난이야/렌트보다 중고차 사는 게 훨 이득!
3261,요샌 취업 보단 알바 많이 하는 것 같아,그치 내년부터 시급도 오르면 더 그럴걸?
3262,그러게 키키 알바는 휴가도 자유롭잖아 키키,그렇긴 하지 그리고 난 또 단기알바 거든 키키
3263,그러게 키키 직장 생활 너무 두려워,직장생활은 스트레스에 회식에 난 못할 듯
3264,헐 그러면 진짜 일 다니는 맛이 안나,월급 빼고 다 오른다는 게 괜한 말이 아니야 ㅠㅠ
3265,그러게 키키 물가 인상 하면 월급도 올려줘야지,그치... 이제 시급 오르면 알바 더 안 뽑을까 걱정이야 ㅠㅠ
3266,진짜 이직 생각 들겠다...,저 형 말 들으니 직장 생활은 이미 절레절레다...
3267,고무신 거꾸로 신는 이유가 뭐야,기다리기 힘들고 지쳐서지 않을까?!
3268,아 아니다 군화 거꾸로 신는 이유!,아 군인이 거꾸로 신는 이유 말하는 거야? 하하
3269,맞아 요즘 군대에서 바람 나고 전역할 때쯤 헤어진대,와 전역 할 때 헤어지는 건 너무하다!
3270,사회 나갈준비 하면서 뭐라도 되는줄 아나봐,그니까~ 근데 현실은 다 후회할 거면서...
3271,"그러게, 고무신 거꾸로 신는 애들도 있지만 군화도 만만치 않음",안 알려져서 그렇지 은근 있을 거야 키키
3272,나 같으면 배신감 들어서 엿 먹으라 할 것 같아,그러게~ 그래도 나는 절대 그런 짓을 하지 않았지!
3273,나이 드니깐 공부하기 싫다,아 공부는 고딩 때까지가 적당해...
3274,요즘 자격증 공부 내팽겨쳤어 키키,에이 누나 자격증 공부는 꼭 해야 해!
